"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Theories of discrete event model abstraction","S. Sevinc","Dept. of Comput. Sci., Sydney Univ., NSW, Australia","1991 Winter Simulation Conference Proceedings.","6 Aug 2002","1991","","","1115","1119","The author critically examines possibilities for a formal basis of model abstraction and possibilities for procedures to perform model abstraction. It is noted that model abstraction is frequently done by modelers when the complexity of their models exceeds the power of their resources, i.e., too much space or time would be taken by simulations. It is the responsibility of simulation methodologists to propose sound ways of generating more abstract models from more detailed ones. Model abstraction also serves the purpose of learning more about model behavior and inferring properties that otherwise may remain uncovered. It is pointed out that no complete theories of model abstraction exist, nor does any sufficiently general procedure.<>","","0-7803-0181-1","10.1109/WSC.1991.185732","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=185732","","Discrete event simulation;Computational modeling;Computer networks;Computer science;Manuals;Discrete event systems","discrete event simulation;modelling","discrete event model abstraction;model behavior","","3","","9","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Selective ensemble simulation meta-modeling approach based on multiple kernel features extraction and fuzzy inference","J. Tang; J. Qiao; Z. Liu; Z. Wu; X. Zhou","Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang, China; State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang, China; State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang, China","2017 Chinese Automation Congress (CAC)","1 Jan 2018","2017","","","1567","1572","To construction effective simulation meta-models for complex physical simulation system, the “curse of dimension” and the “uncertain and imprecise information” problems have to be addressed firstly. Although simulation meta-models based on neural networks can obtain well performance, the fuzzy inference mechanism of domain expert for practical application problems cannot be simulated. Thus, some prediction results may be contradicted with that of the actual physical systems. Aim at these problems, a novelty selective ensemble (SEN) simulation meta-modeling approach based on multiple kernel feature extraction and fuzzy inference modeling is proposed in this paper. A new ensemble construction method based on multiple candidate kernel latent features is used to produce candidate training sub-samples. Candidate sub-models based on Mamdani's fuzzy inference are constructed with these training sub-samples. Brand and bound (BB) and adaptive weighting fusion (AWF) algorithms are used to select and combine the ensemble sub-models to obtain final SEN simulation meta-model. Simulate results based on synthetic data show that the proposed approach is effective.","","978-1-5386-3524-7","10.1109/CAC.2017.8243017","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8243017","multiple kernel feature extraction;selective ensemble (SEN) modeling;simulation meta-modeling","Feature extraction;Kernel;Adaptation models;Fuzzy logic;Data models;Computational modeling;Metamodeling","feature extraction;fuzzy reasoning;inference mechanisms;learning (artificial intelligence);neural nets","complex physical simulation system;uncertain information problems;fuzzy inference mechanism;novelty selective ensemble simulation meta-modeling approach;multiple kernel feature extraction;fuzzy inference modeling;ensemble construction method;multiple candidate kernel latent features;Mamdani's fuzzy inference;final SEN simulation meta-model;adaptive weighting fusion;AWF algorithms","","","","30","","1 Jan 2018","","","IEEE","IEEE Conferences"
"Towards Model-Driven Development of Hybrid Simulation Models in Industrial Engineering","B. Heinzl; W. Kastner","Research Group of Automation Systems TU Wien, Institute of Computer Engineering, Vienna, Austria; Research Group of Automation Systems TU Wien, Institute of Computer Engineering, Vienna, Austria","IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society","30 Dec 2018","2018","","","3588","3593","In order to analyze and optimize energy efficiency of complex industrial facilities, methods for hybrid discrete/continuous modeling and simulation are necessary that allow to incorporate thermal-physical dynamic behavior as well as discrete aspects like entity flow into an integrated simulation model while at the same time remaining manageable for large-scale applications. One promising approach follows component-based hierarchical modeling based on a formal system specification, called hyPDEVS. However, this approach faces challenges for widespread adoption in industry due to the generic nature of the formalism and related difficulties in applying it to real-world scenarios. In an attempt to support the development of hybrid simulation models based on hyPDEVS, we present a domain-specific model abstraction for industrial facilities that is intended to allow developing application models in a platform-independent manner. Thereby, we follow a model-driven engineering paradigm that promotes the separation of model specification from the concrete implementation, i.e. source code. Compared to typical co-simulation solutions, this approach provides better semantic integration of discrete and continuous modeling aspects, thereby promoting modularity and reuse of model components.","2577-1647","978-1-5090-6684-1","10.1109/IECON.2018.8592811","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8592811","Model-driven Engineering;PIM;Hybrid Simulation;DEVS;Cube;Metamodel","Biological system modeling;Ovens;Computational modeling;Context modeling;Production;Analytical models;Adaptation models","computer simulation;formal specification;industrial engineering;object-oriented programming;production engineering computing;production facilities","thermal-physical dynamic behavior;integrated simulation model;component-based hierarchical modeling;formal system specification;hybrid simulation models;domain-specific model abstraction;model-driven engineering paradigm;model specification;model components;model-driven development;industrial engineering;complex industrial facilities;hybrid discrete/continuous modeling;hyPDEVS","","","","25","","30 Dec 2018","","","IEEE","IEEE Conferences"
"Approaches for simulation model simplification","D. van der Zee","Department of Operations, Faculty of Economics & Business, University of Groningen, P.O. Box 800, 9700 AV Groningen, The Netherlands","2017 Winter Simulation Conference (WSC)","8 Jan 2018","2017","","","4197","4208","Simplification is considered a fundamental part of modelling and simulation. Model simplification is instrumental in creating models that are useful - by focusing on system elements that matter, and feasible - by reducing study efforts. Despite its widely acknowledged relevance simulation model simplification may still be considered an underdeveloped field. This is mirrored in existing literature, and course books. While the former shows a fragmented landscape in addressing the issue, the latter often offer little guidance for the (future) analyst. To foster further development of the field we assess current progress by providing a literature review. Issues addressed by the review concern: (i) definition and scope of model simplification, (ii) reasons for model simplification, (iii) drivers of inappropriate model complexity, and (iv) approaches for model simplification. The review is meant to provide a useful overview of the work undertaken in this field, aiming to benefit educators, practitioners and researchers.","1558-4305","978-1-5386-3428-8","10.1109/WSC.2017.8248126","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8248126","","Analytical models;Computational modeling;Complexity theory;Data models;Stakeholders;Buildings;Biological system modeling","modelling;simulation","modelling;model complexity;relevance simulation model simplification","","2","","51","","8 Jan 2018","","","IEEE","IEEE Conferences"
"Model-based system engineering using SysML: Deriving executable simulation models with QVT","G. Kapos; V. Dalakas; A. Tsadimas; M. Nikolaidou; D. Anagnostopoulos","Department of Informatics & Telematics, Harokopio University of Athens, 70 El. Venizelou Str, 17671, GREECE; Department of Informatics & Telematics, Harokopio University of Athens, 70 El. Venizelou Str, 17671, GREECE; Department of Informatics & Telematics, Harokopio University of Athens, 70 El. Venizelou Str, 17671, GREECE; Department of Informatics & Telematics, Harokopio University of Athens, 70 El. Venizelou Str, 17671, GREECE; Department of Informatics & Telematics, Harokopio University of Athens, 70 El. Venizelou Str, 17671, GREECE","2014 IEEE International Systems Conference Proceedings","22 May 2014","2014","","","531","538","Systems Modeling Language (SysML) is used to define hierarchical system models in model-based engineering (MBE). Although SysML may effectively serve the description of complex systems, it can not effectively support all model-based engineering activities. For example, system validation is usually performed via simulation. In this case, SysML system models should be transformed to domain-specific models, e.g. executable simulation models suitable for specific simulation tools. This paper identifies the key issues for efficient SysML model simulation, utilizing Model Driven Architecture (MDA) concepts. The generation of executable simulation code from SysML system models is considered as a model transformation from the SysML meta-model to the simulation meta-model. Since SysML meta-model is defined using Meta-Object Facility (MOF), the definition of MOF simulation meta-models and the utilization of the Query/View/Transformation (QVT) language for model transformations are analytically discussed. The presented approach is not restricted in a specific simulation framework or type. However, in this paper, the experience obtained from a case study on discrete event simulation is evaluated and the conditions that favor the selection of specific simulation frameworks are identified.","","978-1-4799-2086-0","10.1109/SysCon.2014.6819307","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6819307","Model-based Engineering;SysML;MDA;Model Transformation;QVT;Simulation;DEVS","Unified modeling language;Standards;Adaptation models;Mathematical model;XML;Computational modeling","query languages;software architecture;SysML;systems engineering","model-based system engineering;SysML;executable simulation models;Systems Modeling Language;MBE;domain-specific models;model driven architecture;MDA concepts;meta-object facility;MOF;query/view/transformation language;QVT language","","18","","35","","22 May 2014","","","IEEE","IEEE Conferences"
"Meta-Models are models too","H. Vangheluwe; J. de Lara","Sch. of Comput. Sci., McGill Univ., Montreal, Que., Canada; NA","Proceedings of the Winter Simulation Conference","29 Jan 2003","2002","1","","597","605 vol.1","This article introduces multi-formalism modelling and meta-modelling to facilitate computer assisted modelling and simulation of complex systems. To aid in the automatic generation of multi-formalism modelling and simulation tools, formalisms are modelled in their own right, at a metalevel, within an appropriate formalism. This approach is implemented in the interactive tool ATOM/sup 3/ (A Tool for Multi-formalism Meta-Modelling). This tool is used to describe formalisms commonly used in the simulation of dynamical systems, as well as to generate custom tools to process (create, edit, simulate, etc.) models expressed in the corresponding formalism. ATOM/sup 3/ relies on graph rewriting techniques to perform the transformations (modelled as graph grammars) between formalisms as well as for other tasks, such as code generation or simulator specification. The finite state automata (FSA) formalism is used to demonstrate the concepts of meta-modelling as well as model transformation (in particular, simulation of FSA models). The issue of a neutral model exchange and re-use format is addressed in the context of meta-modelling. Core XML is proposed as a standard external format. Thanks to the power of the meta-modelling approach, DTD, XMLSchema, and XSLT specifications may be replaced by models, externally represented in core XML, in appropriate formalisms (entity relationship for syntax and graph grammar for transformation respectively).","","0-7803-7614-5","10.1109/WSC.2002.1172936","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=1172936","","Computational modeling;XML;Power system modeling;Bonding;Computer science;Computer simulation;Automata;Context modeling;Differential equations;Petri nets","graph grammars;rewriting systems;large-scale systems;hypermedia markup languages;digital simulation;modelling;finite automata","multi-formalism modelling;metamodelling;computer assisted modelling;computer assisted simulation;complex systems;interactive tool;dynamical systems;graph rewriting;code generation;simulator specification;finite state automata;neutral model exchange format;neutral model reuse format;XML;DTD;XMLSchema;XSLT specifications;graph grammar;entity relationship;syntax;transformation","","10","","8","","29 Jan 2003","","","IEEE","IEEE Conferences"
"Experiences building and validating a large-scale dynamic paper machine model","D. L. Wilson; J. Balderud","Modelling & Simulation Group, Karlstad Univ., Sweden; NA","IEE Seminar on Model Validation for Plant Control and Condition Monitoring (Ref. No. 2000/044)","6 Aug 2002","2000","","","2/1","2/7","Concerns the development of a dynamic model of a 5-ply board machine producing packaging board. Three models were developed in decreasing order of complexity. First a detailed dynamic model of the short circulations was built using Simons IDEAS, which is a special purpose dynamic simulation package intended for the pulp and paper industry. This full model contained a comprehensive differential and algebraic equation set so consequently quickly became too unwieldy for the intended uses of troubleshooting, aiding retrofits and model-based control studies. A slightly simplified version of this model was re-engineered in Simulink, dropping the algebraic constraint equations and implementing the transport delays in a more elegant manner. Finally transfer function models, suitable for online control and optimisation tasks were identified from production data with a structure given by semi-rigorous reasoning. All three models were adjusted and subsequently validated against almost one year of plant operating data. This paper highlights the difficulties in validating a large industrial system with widely varying time constants, dubious transducers and the ubiquitous noise. We also discuss the necessary, but delicate, task of performing model reduction; contrast different simulation tools used at the various levels of model hierarchy and finally the paper demonstrates the use of simplified models to improve the performance of the adaptive IMC controller for the basis weight in the finished board.","","","10.1049/ic:20000236","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=848172","","","paper industry","large-scale dynamic paper machine model;5-ply board machine;packaging board;IDEAS;special purpose dynamic simulation package;pulp industry;paper industry;differential equations;algebraic equations;model-based control;model re-engineering;Simulink;algebraic constraint equations;transport delays;transfer function models;online control;online optimisation;semi-rigorous reasoning;model reduction;model hierarchy;adaptive IMC controller;basis weight controller","","1","","","","6 Aug 2002","","","IET","IET Conferences"
"Transient Thermal Compact Models Time Integration with Python","T. Hauck; V. Jha","NXP Semiconductors Germany, Schatzbogen 7, Munich, 81829, Germany; NXP Semiconductors Germany, Schatzbogen 7, Munich, 81829, Germany","2019 18th IEEE Intersociety Conference on Thermal and Thermomechanical Phenomena in Electronic Systems (ITherm)","11 Jul 2019","2019","","","113","116","Virtual prototyping is the way forward to shorten development cycles and deliver optimized design solutions for semiconductor components and electronic modules. It allows us to make virtual experiments for devices that have never been built before. We can predict safe operating areas and on the other hand identify critical use conditions. Key requirement for virtual prototyping is an efficient and accurate simulation model that does consider multiple physical domains (e.g. thermal, electrical, mechanical)along with complex 3-D structures. The focus of the current paper is to present an efficient simulation flow for prediction of three-dimensional temperature fields at transient operating conditions with multiple heat sources and associated thermal cross talk at component and system levels. In what follows, we will demonstrate the virtual assembly of an electronic control unit (ECU)and its transient thermal simulation in time domain. We will decompose the unit into its major components for which fast mathematical models will be derived by means of model order reduction techniques. We will then create a reduced mathematical model of the entire ECU by simply interconnecting all components models at predetermined IO/s. We will demonstrate a stimulus-response analysis of the interconnected system and a subsequent result expansion path for 3-D visualization of temperature fields. Finally, we will compare simulation results of the reduced system model with the corresponding full-scale finite element model.","2577-0799","978-1-7281-2461-2","10.1109/ITHERM.2019.8757439","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8757439","Transient Thermal compact models;Thermal management;Virtual Prototyping;Model Order Reduction","Conferences;Systems simulation;Reduced order systems","crosstalk;data visualisation;electronic engineering computing;finite element analysis;thermal management (packaging);virtual prototyping","transient thermal compact models time integration;virtual prototyping;development cycles;optimized design solutions;semiconductor components;electronic modules;virtual experiments;safe operating areas;multiple physical domains;three-dimensional temperature fields;transient operating conditions;multiple heat sources;thermal cross talk;system levels;virtual assembly;electronic control unit;transient thermal simulation;time domain;fast mathematical models;model order reduction techniques;reduced mathematical model;components models;reduced system model;simulation model;simulation flow;full-scale finite element model;complex 3-D structures;ECU;stimulus-response analysis","","","","5","","11 Jul 2019","","","IEEE","IEEE Conferences"
"A Model Order Reduction Technique Based on Balanced Truncation Method and Artificial Neural Networks","M. Baziyad; A. Jarndal; M. Bettayeb","Research Institute of Science & Engineering, University of Sharjah, Sharjah, United Arab Emirates; University of Sharjah, Sharjah, United Arab Emirates; CEIES, King Abdulaziz University, Jeddah, Kingdom of Saudi Arabia","2019 8th International Conference on Modeling Simulation and Applied Optimization (ICMSAO)","24 Oct 2019","2019","","","1","5","This paper presents a framework for model order reduction based on Balanced Truncation (BT) method and Artificial Neural Networks (ANN). As social, architectural and technical models are witnessing rapid complexity increase, it has become essential to find solutions to obtain a lower complex version of models while still preserving the model integrity. The main idea of the proposed framework is to reduce uncertainty by cascading two different Model Order Reduction (MOR) approaches, the BT technique and the Jordan Recurrent Neural Network (JRNN). The reduced model obtained by the JRNN network is estimated using the Instrument Variable (IV) estimation approach. Finally, the BT reduced model and the estimated JRNN reduced model are cascaded to obtain the final reduced order version of the original plant. The cascading procedure takes the powerfulness of both techniques and present them in a single system capable to compensate for possible errors and uncertainties. Simulation results prove the efficiency of the proposed framework in terms of the deduction strength and the integrity level.","2573-5276","978-1-5386-7684-4","10.1109/ICMSAO.2019.8880270","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8880270","model;neural network;Jordan;order;reduction;balanced truncation;system","Transfer functions;Mathematical model;Reduced order systems;Artificial neural networks;Optimization;Tools","cascade systems;recurrent neural nets;reduced order systems;uncertain systems","model order reduction technique;balanced truncation method;artificial neural networks;BT technique;JRNN network;Jordan recurrent neural network;instrument variable estimation;uncertainty;MOR approaches","","","","23","","24 Oct 2019","","","IEEE","IEEE Conferences"
"A Model-Driven Approach for Evaluating System of Systems","X. Xia; J. Wu; C. Liu; L. Xu","Sch. of Comput. Sci. & Eng., Beihang Univ., Beijing, China; Sch. of Comput. Sci. & Eng., Beihang Univ., Beijing, China; Sch. of Comput. Sci. & Eng., Beihang Univ., Beijing, China; New Technol. Res. Group, North China Inst. of Comput. Technol., Beijing, China","2013 18th International Conference on Engineering of Complex Computer Systems","19 Sep 2013","2013","","","56","64","To reduce the cost and risk of the development of system of systems (SoS) by pre-evaluation before the SoS is built, a model-driven approach is proposed to evaluate the SoS based on its architecture, especially focused on measures of performance and effectiveness. In order to implement the pre-evaluation, the system architecture needs to be transformed to the simulation model of the system under the directing of the evaluation requirement model, then the evaluation can be done based on the evaluation model and the data from simulation. The architecture, evaluation requirement model, simulation model and evaluation model involved in the above process constitute the model system (a set of models related with each other) of our approach. Through the modeling activities based on the model system, we can implement the systematically pre-evaluation of SoS. The model system and its meta-model, which are the core of our approach, are detailed after the introduction of the framework of our approach. Then the transformations from DoDAF architecture to evaluation requirement model and simulation model are studied for accelerating the evaluation process. The case study shows that our approach can not only ensure the standardization and systematization of the evaluating process, but can improve the evaluating efficiency and creditability based on the proposed transformation method.","","978-0-7695-5007-7","10.1109/ICECCS.2013.18","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=6601805","pre-evaluation;architecture;system of systems;model-driven;DoDAF;model system;model transfomration","Unified modeling language;Data models;Analytical models;Computer architecture;Software packages;Indexes;Computational modeling","military computing;software architecture;Unified Modeling Language","model-driven approach;system of system evaluation;SoS;system architecture;system simulation model;evaluation requirement model;model system;meta-model;DoDAF architecture;Department of Defense AF architecture;xUML","","6","","18","","19 Sep 2013","","","IEEE","IEEE Conferences"
